0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:53 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:54 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:55 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:09 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:24 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:25 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:29 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:40 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:42 +0900] "GET /Day4/board/like_ok.jsp?b_idx=6 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:44 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:45:45 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:48:40 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:48:58 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:48:59 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:01 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:17 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:18 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:19 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:19 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:41 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:42 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:49:44 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:52:17 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:52:18 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:52:20 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:52:22 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:52:29 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:54:08 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:54:50 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:14 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:37 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:37 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:37 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
